XX, <V>, S(<V>), R, r, MIR, Decl, LO, MM, BS_50, BV_50, β, GS, PR, EG, 𝛾, B%, LPR', LUE
CA, 0.5921, 0.7293, 2.4899, 1.939, 0.3157, -3.0045, 0.0923, -0.0097, -0.0179, -0.0061, 0.0329, -0.0179, -0.1372, -0.0451, -0.0507, -0.1444, -0.141, -7.4731
IL, 0.6001, 0.7465, 2.463, 3.1497, 0.1175, 5.6847, 0.1166, 0.0217, 0.0653, 0.0177, 0.025, 0.0212, -0.1464, -0.0463, 0.0687, -0.1354, -0.1599, -2.8781
MD, 0.5934, 0.8496, 3.7441, 1.0767, 0.7287, -33.0442, 0.0406, -0.0109, -0.0545, -0.0101, 0.0137, -0.0267, -0.2562, -0.1628, -0.249, -0.2246, -0.2205, -1.7637
MA, 0.6003, 0.958, 4.5678, 1.9724, 0.307, NaN, NaN, 0.0231, 0.0672, 0.01, -0.0304, 0.0197, -0.3577, -0.2575, -0.2602, -0.4024, -0.3617, -3.2552
CO, 0.5056, 0.5077, 1.3792, 3.8016, 0.163, 0.1627, 0.0031, 0.0136, 0.0136, 0.0035, 0.0138, 0.0087, -0.0021, 0.0035, 0.0135, 0.0638, -0.002, -0.0138
NC, 0.515, 0.3225, -11.8053, 4.3504, 0.1299, 36.5174, 0.1106, 0.057, 0.2172, 0.045, 0.2098, 0.0666, 0.1925, 0.2076, 0.2429, 0.216, 0.1653, 2.1487
OH, 0.5131, 0.3898, -8.4353, 4.0765, 0.1453, 22.1703, 0.0694, 0.0417, 0.155, 0.0333, 0.1491, 0.0439, 0.1232, 0.1363, 0.1634, 0.1102, 0.1067, 1.7071
PA, 0.5294, 0.4167, -2.8305, 3.4077, 0.1935, 23.6635, 0.0874, 0.0574, 0.1692, 0.0471, 0.1554, 0.0574, 0.1127, 0.1421, 0.1835, 0.1388, 0.1059, 1.9068
TN, 0.4159, 0.2107, 3.4416, 0.473, 1.9143, 34.8546, 0.0059, 0.0413, 0.1835, 0.0324, -0.0319, 0.0646, 0.2053, 0.1212, 0.2496, 0.2338, 0.2369, 2.1324
TX, 0.4043, 0.2894, 2.2015, 1.17, 0.6547, 17.2462, -0.0296, 0.0214, 0.0546, 0.0135, -0.0833, 0.0542, 0.115, 0.0193, 0.0987, 0.1273, 0.1184, 4.2639
SC, 0.43, 0.1583, 4.883, 0.8696, 0.9499, 47.9144, 0.0424, 0.0473, 0.1502, 0.0238, 0.0065, 0.0513, 0.2717, 0.2017, 0.2808, 0.2702, 0.263, 1.8407
